Country,Lat,Lon
AFGHANISTAN,33.93911,67.709953
ALBANIA,41.153332,20.168331
ALGERIA,28.033886,1.659626
ANDORRA,42.546245,1.601554
ANGOLA,-11.202692,17.873887
ANTIGUA AND BARBUDA,17.060816,-61.796428
ARGENTINA,-38.416097,-63.616672
ARMENIA,40.069099,45.038189
AUSTRALIA,-25.274398,133.775136
AUSTRIA,47.516231,14.550072
AZERBAIJAN,40.143105,47.576927
BAHAMAS,25.03428,-77.39628
BAHRAIN,26.0667,50.5577
BANGLADESH,23.684994,90.356331
BARBADOS,13.193887,-59.543198
BELARUS,53.709807,27.953389
BELGIUM,50.503887,4.469936
BELIZE,17.189877,-88.49765
BENIN,9.30769,2.315834
BHUTAN,27.514162,90.433601
BOLIVIA,-16.290154,-63.588653
BOSNIA AND HERZEGOVINA,43.915886,17.679076
BOTSWANA,-22.328474,24.684866
BRAZIL,-14.235004,-51.92528
BRUNEI DARUSSALAM,4.535277,114.727669
BULGARIA,42.733883,25.48583
BURKINA FASO,12.238333,-1.561593
BURUNDI,-3.373056,29.918886
CABO VERDE,16.002082,-24.013197
CAMBODIA,12.565679,104.990963
CAMEROON,7.369722,12.354722
CANADA,56.130366,-106.346771
CENTRAL AFRICAN REPUBLIC,6.611111,20.939444
CHAD,15.454166,18.732207
CHILE,-35.675147,-71.542969
CHINA,35.86166,104.195397
COLOMBIA,4.570868,-74.297333
COMOROS,-11.875001,43.872219
CONGO,-0.228021,15.827659
COSTA RICA,9.748917,-83.753428
CROATIA,45.1,15.2
CUBA,21.521757,-77.781167
CYPRUS,35.126413,33.429859
CZECHIA,49.817492,15.472962
DENMARK,56.26392,9.501785
DJIBOUTI,11.825138,42.590275
DOMINICA,15.414999,-61.370976
DOMINICAN REPUBLIC,18.735693,-70.162651
ECUADOR,-1.831239,-78.183406
EGYPT,26.820553,30.802498
EL SALVADOR,13.794185,-88.89653
EQUATORIAL GUINEA,1.650801,10.267895
ERITREA,15.179384,39.782334
ESTONIA,58.595272,25.013607
ESWATINI,-26.522503,31.465866
ETHIOPIA,9.145,40.489673
FIJI,-17.713371,178.065032
FINLAND,61.92411,25.748151
FRANCE,46.227638,2.213749
GABON,-0.803689,11.609444
GAMBIA,13.443182,-15.310139
GEORGIA,42.315407,43.356892
GERMANY,51.165691,10.451526
GHANA,7.946527,-1.023194
GREECE,39.074208,21.824312
GRENADA,12.262776,-61.604171
GUATEMALA,15.783471,-90.230759
GUINEA,9.945587,-9.696645
GUINEA-BISSAU,11.803749,-15.180413
GUYANA,4.860416,-58.93018
HAITI,18.971187,-72.285215
HONDURAS,15.199999,-86.241905
HUNGARY,47.162494,19.503304
ICELAND,64.963051,-19.020835
INDIA,20.593684,78.96288
INDONESIA,-0.789275,113.921327
IRAN,32.427908,53.688046
IRAQ,33.223191,43.679291
IRELAND,53.41291,-8.24389
